Name,Flow,Amount,Description (name),Description (flow)
DEC_COGEN_BIOOIL,ELECTRICITY_LV,0.91,Decentralized Cogeneration with BioOil Combustion,Electricity (low voltage)
DEC_COGEN_BIOOIL,HEAT_LOW_T_DECEN,1.0,Decentralized Cogeneration with BioOil Combustion,"Heat (low temperature, decentralized)"
DEC_COGEN_GAS,CO2_E,0.43,Decentralized Cogeneration with Gas Combustion,CO2 emission (from nonconcentrated spot sources)
DEC_COGEN_GAS,ELECTRICITY_LV,0.96,Decentralized Cogeneration with Gas Combustion,Electricity (low voltage)
DEC_COGEN_GAS,HEAT_LOW_T_DECEN,1.0,Decentralized Cogeneration with Gas Combustion,"Heat (low temperature, decentralized)"
DEC_COGEN_GAS,NG_LP,-2.17,Decentralized Cogeneration with Gas Combustion,Natural gas (low pressure)
DEC_COGEN_OIL,CO2_E,0.625,Decentralized Cogeneration with Oil Combustion,CO2 emission (from nonconcentrated spot sources)
DEC_COGEN_OIL,ELECTRICITY_LV,0.91,Decentralized Cogeneration with Oil Combustion,Electricity (low voltage)
DEC_COGEN_OIL,HEAT_LOW_T_DECEN,1.0,Decentralized Cogeneration with Oil Combustion,"Heat (low temperature, decentralized)"
DEC_COGEN_OIL,LFO,-2.33,Decentralized Cogeneration with Oil Combustion,Light fuel oil
DEC_COGEN_WOOD,CO2_A,0.733,Decentralized Cogeneration with Wood Combustion,CO2 emission (from carbon-intensive fields)
DEC_COGEN_WOOD,ELECTRICITY_MV,0.34,Decentralized Cogeneration with Wood Combustion,Electricity (medium voltage)
DEC_COGEN_WOOD,HEAT_LOW_T_DECEN,1.0,Decentralized Cogeneration with Wood Combustion,"Heat (low temperature, decentralized)"
DEC_COGEN_WOOD,WOOD,-1.887,Decentralized Cogeneration with Wood Combustion,Woody biomass
DEC_DIRECT_ELEC,ELECTRICITY_LV,-1.0,Decentralized Direct Electricity,Electricity (low voltage)
DEC_DIRECT_ELEC,HEAT_LOW_T_DECEN,1.0,Decentralized Direct Electricity,"Heat (low temperature, decentralized)"
DEC_HP_ELEC,ELECTRICITY_LV,-0.33,Decentralized Heat Pump Electricity ,Electricity (low voltage)
DEC_HP_ELEC,HEAT_LOW_T_DECEN,1.0,Decentralized Heat Pump Electricity ,"Heat (low temperature, decentralized)"
DEC_RENOVATION,HEAT_LOW_T_DECEN,1.0,Decentralized Energy System Renovation,"Heat (low temperature, decentralized)"
DEC_SOLAR,HEAT_LOW_T_DECEN,1.0,Decentralized Solar Thermal ,"Heat (low temperature, decentralized)"
DEC_SOLAR,RES_SOLAR,-1.0,Decentralized Solar Thermal ,Solar resource
DEC_THHP_BIOGAS,CO2_E,0.132,Decentralized Thermal BioGas Heat Pump,CO2 emission (from nonconcentrated spot sources)
DEC_THHP_BIOGAS,HEAT_LOW_T_DECEN,1.0,Decentralized Thermal BioGas Heat Pump,"Heat (low temperature, decentralized)"
DEC_THHP_BIOGAS,SNG_LP,-0.67,Decentralized Thermal BioGas Heat Pump,Synthetic natural gas (low pressure)
DEC_THHP_GAS,CO2_E,0.132,Decentralized Thermal Gas Heat Pump,CO2 emission (from nonconcentrated spot sources)
DEC_THHP_GAS,HEAT_LOW_T_DECEN,1.0,Decentralized Thermal Gas Heat Pump,"Heat (low temperature, decentralized)"
DEC_THHP_GAS,NG_LP,-0.67,Decentralized Thermal Gas Heat Pump,Natural gas (low pressure)
DEEP_SALINE,CO2_C,-1.0,Deep Saline Carbon Sequestration,Captured CO2
DEEP_SALINE,CO2_E,0.05,Deep Saline Carbon Sequestration,CO2 emission (from nonconcentrated spot sources)
DEEP_SALINE,CO2_S,0.95,Deep Saline Carbon Sequestration,Sequestrated CO2
DEEP_SALINE,ELECTRICITY_MV,-0.0001,Deep Saline Carbon Sequestration,Electricity (medium voltage)
DHN_BOILER_BIOGAS,CO2_A,0.202,District Heating Network Boiler with BioGas Combustion,CO2 emission (from carbon-intensive fields)
DHN_BOILER_BIOGAS,HEAT_LOW_T_DHN,1.0,District Heating Network Boiler with BioGas Combustion,"Heat (low temperature, district heating network)"
DHN_BOILER_BIOGAS,SNG_MP,-1.08,District Heating Network Boiler with BioGas Combustion,Synthetic natural gas (medium pressure)
DHN_BOILER_BIOOIL,BIO_LFO,-1.15,District Heating Network Boiler with BioOil Combustion,Bio-light fuel oil
DHN_BOILER_BIOOIL,CO2_A,0.308,District Heating Network Boiler with BioOil Combustion,CO2 emission (from carbon-intensive fields)
DHN_BOILER_BIOOIL,HEAT_LOW_T_DHN,1.0,District Heating Network Boiler with BioOil Combustion,"Heat (low temperature, district heating network)"
DHN_BOILER_GAS,CO2_A,0.202,District Heating Network Boiler with Gas Combustion,CO2 emission (from carbon-intensive fields)
DHN_BOILER_GAS,HEAT_LOW_T_DHN,1.0,District Heating Network Boiler with Gas Combustion,"Heat (low temperature, district heating network)"
DHN_BOILER_GAS,NG_MP,-1.08,District Heating Network Boiler with Gas Combustion,Natural gas (medium pressure)
DHN_BOILER_OIL,CO2_A,0.308,District Heating Network Boiler with Oil Combustion,CO2 emission (from carbon-intensive fields)
DHN_BOILER_OIL,HEAT_LOW_T_DHN,1.0,District Heating Network Boiler with Oil Combustion,"Heat (low temperature, district heating network)"
DHN_BOILER_OIL,LFO,-1.15,District Heating Network Boiler with Oil Combustion,Light fuel oil
DHN_BOILER_WOOD,CO2_A,0.449,District Heating Network Boiler with Wood Combustion,CO2 emission (from carbon-intensive fields)
DHN_BOILER_WOOD,HEAT_LOW_T_DHN,1.0,District Heating Network Boiler with Wood Combustion,"Heat (low temperature, district heating network)"
DHN_BOILER_WOOD,WOOD,-1.16,District Heating Network Boiler with Wood Combustion,Woody biomass
DHN_COGEN_BIOGAS,CO2_A,0.396,District Heating Network Cogeneration with BioGas Combustion,CO2 emission (from carbon-intensive fields)
DHN_COGEN_BIOGAS,ELECTRICITY_MV,1.25,District Heating Network Cogeneration with BioGas Combustion,Electricity (medium voltage)
DHN_COGEN_BIOGAS,HEAT_LOW_T_DHN,1.0,District Heating Network Cogeneration with BioGas Combustion,"Heat (low temperature, district heating network)"
DHN_COGEN_BIOGAS,SNG_MP,-2.5,District Heating Network Cogeneration with BioGas Combustion,Synthetic natural gas (medium pressure)
DHN_COGEN_GAS,CO2_A,0.396,District Heating Network Cogeneration with Gas Combustion,CO2 emission (from carbon-intensive fields)
DHN_COGEN_GAS,ELECTRICITY_MV,1.25,District Heating Network Cogeneration with Gas Combustion,Electricity (medium voltage)
DHN_COGEN_GAS,HEAT_LOW_T_DHN,1.0,District Heating Network Cogeneration with Gas Combustion,"Heat (low temperature, district heating network)"
DHN_COGEN_GAS,NG_MP,-2.5,District Heating Network Cogeneration with Gas Combustion,Natural gas (medium pressure)
DHN_COGEN_WASTE,CO2_A,1.203,District Heating Network Cogeneration with Waste Combustion,CO2 emission (from carbon-intensive fields)
DHN_COGEN_WASTE,ELECTRICITY_MV,0.44,District Heating Network Cogeneration with Waste Combustion,Electricity (medium voltage)
DHN_COGEN_WASTE,HEAT_LOW_T_DHN,1.0,District Heating Network Cogeneration with Waste Combustion,"Heat (low temperature, district heating network)"
DHN_COGEN_WASTE,WASTE,-2.22,District Heating Network Cogeneration with Waste Combustion,Waste
DHN_COGEN_WASTE_CC,CO2_C,0.68,District Heating Network Cogeneration with Waste Combustion with Carbon Capture,Captured CO2
DHN_COGEN_WASTE_CC,CO2_E,0.68,District Heating Network Cogeneration with Waste Combustion with Carbon Capture,CO2 emission (from nonconcentrated spot sources)
DHN_COGEN_WASTE_CC,ELECTRICITY_MV,0.444,District Heating Network Cogeneration with Waste Combustion with Carbon Capture,Electricity (medium voltage)
DHN_COGEN_WASTE_CC,HEAT_LOW_T_DHN,1.0,District Heating Network Cogeneration with Waste Combustion with Carbon Capture,"Heat (low temperature, district heating network)"
DHN_COGEN_WASTE_CC,WASTE,-2.4,District Heating Network Cogeneration with Waste Combustion with Carbon Capture,Waste
DHN_COGEN_WOOD,CO2_A,0.733,District Heating Network Cogeneration with Wood Combustion,CO2 emission (from carbon-intensive fields)
DHN_COGEN_WOOD,ELECTRICITY_MV,0.34,District Heating Network Cogeneration with Wood Combustion,Electricity (medium voltage)
DHN_COGEN_WOOD,HEAT_LOW_T_DHN,1.0,District Heating Network Cogeneration with Wood Combustion,"Heat (low temperature, district heating network)"
DHN_COGEN_WOOD,WOOD,-1.89,District Heating Network Cogeneration with Wood Combustion,Woody biomass
DHN_DEEP_GEO,HEAT_LOW_T_DHN,1.0,District Heating Network with Deep Geothermal Heat,"Heat (low temperature, district heating network)"
DHN_DEEP_GEO,RES_GEO,-1.0,District Heating Network with Deep Geothermal Heat,Geothermal resource
DHN_HP_ELEC,ELECTRICITY_MV,-0.25,District Heating Network with Heat Pump Electricity,Electricity (medium voltage)
DHN_HP_ELEC,HEAT_LOW_T_DHN,1.0,District Heating Network with Heat Pump Electricity,"Heat (low temperature, district heating network)"
DHN_RENOVATION,HEAT_LOW_T_DHN,1.0,District Heating Network Renovation,"Heat (low temperature, district heating network)"
