Name,Type,Value,LCA unit,ESM unit,Assumptions & Sources
Xylene,Resource,=1 * 3.6 / 40.961,kilogram,kilowatt hour,"Xylene LHV (40.961 MJ/kg): (Wikipedia, 2023)"
Compressed Synthetic Natural Gas-Powered Bus,Construction,=1 * 8760 * 0.297 / (13 * 50000),unit,person kilometer per hour,"people per vehicle (13), yearly distance (50000 km): (Sacchi, 2022), capacity factor (0.297): (Limpens, 2021)"
Compressed Synthetic Natural Gas-Powered Bus,Operation,=1,person kilometer,person kilometer,None
Compressed Synthetic Natural Gas-Powered School Bus,Construction,=1 * 8760 * 0.297 / (47 * 24000),unit,person kilometer per hour,"people per vehicle (47), yearly distance (24000 km): (CIRAIG, 2022), capacity factor (0.297): (Limpens, 2021)"
Compressed Synthetic Natural Gas-Powered School Bus,Operation,=1,person kilometer,person kilometer,None
Compressed Synthetic Natural Gas-Powered Car,Construction,=1 * 8760 * 0.051 / (1.23 * 12000),unit,person kilometer per hour,"people per vehicle (1.23): (Chaire Mobilite, 2018), yearly distance (12000km): (Sacchi, 2022), capacity factor (0.051): (Limpens, 2021)"
Compressed Synthetic Natural Gas-Powered Car,Operation,=1/1.23,kilometer,person kilometer,"people per vehicle (1.23): (Chaire Mobilite, 2018)"
BioEthanol-Powered Car (E10 Blend),Construction,=1 * 8760 * 0.051 / (1.23 * 12000),unit,person kilometer per hour,"people per vehicle (1.23): (Chaire Mobilite, 2018), yearly distance (12000km): (Sacchi, 2022), capacity factor (0.051): (Limpens, 2021)"
BioEthanol-Powered Car (E10 Blend),Operation,=1/1.23,kilometer,person kilometer,"people per vehicle (1.23): (Chaire Mobilite, 2018)"
BioEthanol-Powered Car with E85 Blend,Construction,=1 * 8760 * 0.051 / (1.23 * 12000),unit,person kilometer per hour,"people per vehicle (1.23): (Chaire Mobilite, 2018), yearly distance (12000km): (Sacchi, 2022), capacity factor (0.051): (Limpens, 2021)"
BioEthanol-Powered Car with E85 Blend,Operation,=1/1.23,kilometer,person kilometer,"people per vehicle (1.23): (Chaire Mobilite, 2018)"
Biomethanol-Powered Car ,Construction,=1 * 8760 * 0.051 / (1.5 * 7600),unit,person kilometer per hour,"number of passengers in cars (1.5): (Biedermann, 2023) ; yearly car distance (7600 km): (Biedermann, 2023), capacity factor (0.051): (Limpens, 2021)"
Biomethanol-Powered Car ,Operation,=1 / 1.5,kilometer,person kilometer,"number of passengers in cars (1.5): (Biedermann, 2023)"
Combined Cycle BioGas Turbine,Construction,=1/400 / 1000,unit,kilowatt,Capacity (400 MW_el)
Combined Cycle BioGas Turbine,Operation,=1,kilowatt hour,kilowatt hour,None
Combined Cycle BioGas Turbine with Carbon Capture,Construction,=1/400 / 1000,unit,kilowatt,Capacity (400 MW_el)
Combined Cycle BioGas Turbine with Carbon Capture,Operation,=1,kilowatt hour,kilowatt hour,None
Compressed Synthetic Natural Gas-Powered Coach,Construction,=1 * 8760 * 0.297 / (21 * 50000),unit,person kilometer per hour,"people per vehicle (21), yearly distance (50000 km): (Sacchi, 2022), capacity factor (0.297): (Limpens, 2021)"
Compressed Synthetic Natural Gas-Powered Coach,Operation,=1,person kilometer,person kilometer,None
10% BioEthanol-Powered Coach,Construction,=1 * 8760 * 0.297 / (21 * 50000),unit,person kilometer per hour,"people per vehicle (21), yearly distance (50000 km): (Sacchi, 2022), capacity factor (0.297): (Limpens, 2021)"
10% BioEthanol-Powered Coach,Operation,=1,person kilometer,person kilometer,None
Decentralized Boiler with BioGas Combustion,Construction,=1 / 10,unit,kilowatt,Capacity (10 kW)
Decentralized Boiler with BioGas Combustion,Operation,=1 * 3.6,megajoule,kilowatt hour,None
Decentralized Boiler with BioOil Combustion,Construction,=1 / 10,unit,kilowatt,Capacity (10 kW)
Decentralized Boiler with BioOil Combustion,Operation,=1 * 3.6,megajoule,kilowatt hour,None
Decentralized Boiler with BioOil Combustion (boiler),Construction,1,unit,unit,None
Decentralized Boiler with BioOil Combustion (storage tank),Construction,=0.00000044092/0.00000066138,unit,unit,"Tank per boiler: (Wernet, 2016)"
Decentralized Cogeneration with BioGas Combustion,Construction,=0.96 / 50,unit,kilowatt,"cogeneration production (0.96 kWe/kWth): (Moret, 2017), cogeneration unit capacity (50 kWe)"
Decentralized Cogeneration with BioGas Combustion,Operation,=3.6/0.2278,megajoule,kilowatt hour,"allocation factor (0.2278): (Wernet, 2016)"
"Decentralized Cogeneration with BioGas Combustion (co-generation unit, components for heat and electricity)",Construction,1,unit,unit,None
"Decentralized Cogeneration with BioGas Combustion (co-generation unit, components for electricity)",Construction,1,unit,unit,None
"Decentralized Cogeneration with BioGas Combustion (co-generation unit, components for heat)",Construction,1,unit,unit,None
Decentralized Cogeneration with BioOil Combustion,Construction,=1/10,unit,kilowatt,boiler unit capacity (10 kW_th)
Decentralized Cogeneration with BioOil Combustion,Operation,=1 * 3.6,megajoule,kilowatt hour,None
Decentralized Cogeneration with BioOil Combustion (boiler),Construction,1,unit,unit,None
Decentralized Cogeneration with BioOil Combustion (storage tank),Construction,=0.00000044092/0.00000066138,unit,unit,"Tank per boiler: (Wernet, 2016)"
Decentralized Cogeneration with BioOil Combustion (co-generation unit),Construction,=10/1000,unit,unit,"cogeneration unit capacity (200 kWe), boiler capacity (10 kW_th), 200 kWe ORC to be connected with a 1000 kWth furnace (Wernet, 2016)"
Decentralized Thermal BioGas Heat Pump,Construction,=1 / 4,unit,kilowatt,Capacity (4 kW_th)
Decentralized Thermal BioGas Heat Pump,Operation,=1 * 3.6,megajoule,kilowatt hour,None
Decentralized Thermal BioGas Heat Pump (heat exchanger),Construction,=0.0000000641/0.000000601,unit,unit,"HEX per HP: (Wernet, 2016)"
Decentralized Thermal BioGas Heat Pump (heat pump),Construction,1,unit,unit,None
District Heating Network Boiler with BioGas Combustion,Construction,=(1 / 100) * 1.0417,unit,kilowatt,"Fuel consumption (1.0417 kW_NG / kW_heat): (Wernet, 2016)"
District Heating Network Boiler with BioGas Combustion,Operation,=1 * 3.6,megajoule,kilowatt hour,None
District Heating Network Boiler with BioOil Combustion,Construction,=1.0526/1000,unit,kilowatt,"Fuel consumption (1.0526 kW_oil / kW_heat): (Wernet, 2016)"
District Heating Network Boiler with BioOil Combustion,Operation,=1 * 3.6,megajoule,kilowatt hour,None
District Heating Network Boiler with BioOil Combustion (boiler),Construction,1,unit,unit,None
District Heating Network Boiler with BioOil Combustion (storage tank),Construction,=3.89863157894737E-08/0.000000002924,unit,unit,"Tank per boiler: (Wernet, 2016)"
District Heating Network Cogeneration with BioGas Combustion,Construction,=1 * 1.25 / 1000,unit,kilowatt,"cogeneration production (1.25 kWe/kWth): (Moret, 2017), cogeneration unit capacity (50 kWe)"
District Heating Network Cogeneration with BioGas Combustion,Operation,=3.6 / 0.1636,megajoule,kilowatt hour,"allocation factor (0.1636): (Wernet, 2016)"
"District Heating Network Cogeneration with BioGas Combustion (co-generation unit, components for heat and electricity)",Construction,1,unit,unit,None
"District Heating Network Cogeneration with BioGas Combustion (co-generation unit, components for electricity)",Construction,1,unit,unit,None
"District Heating Network Cogeneration with BioGas Combustion (co-generation unit, components for heat)",Construction,1,unit,unit,None
Conversion of BioEthanol to Jet Fuels,Construction,=3.6 * 8760 * 0.86 / (0.05 * 1000 * 43) / 1000000,unit,kilowatt,"jet fuels LHV (43 MJ/kg): (Boehm, 2022), yearly production (0.05 Mt/yr): (Althaus, 2007) ; capacity factor (0.86): (Moret, 2017)"
Conversion of BioEthanol to Jet Fuels,Operation,=3.6 / 43,kilogram,kilowatt hour,"jet fuels LHV (43 MJ/kg): (Boehm, 2022)"
Combined Cycle Gas Turbine Hydrogen and Synthetic Natural Gas Mix,Construction,=1000/400000000,unit,kilowatt,Capacity (400 MW_el)
Combined Cycle Gas Turbine Hydrogen and Synthetic Natural Gas Mix,Operation,=1,kilowatt hour,kilowatt hour,None
Combined Cycle Gas Turbine Hydrogen and Synthetic Natural Gas Mix with Carbon Capture,Construction,=1000/400000000,unit,kilowatt,Capacity (400 MW_el)
Combined Cycle Gas Turbine Hydrogen and Synthetic Natural Gas Mix with Carbon Capture,Operation,=1,kilowatt hour,kilowatt hour,None
Industrial Boiler with BioGas Combustion,Construction,=1/100,unit,kilowatt,Capacity (100 kW)
Industrial Boiler with BioGas Combustion,Operation,=1 * 3.6,megajoule,kilowatt hour,None
Industrial Boiler with BioOil Combustion,Construction,=1 / 1000,unit,kilowatt,Capacity (1 MW)
Industrial Boiler with BioOil Combustion,Operation,=1 * 3.6,megajoule,kilowatt hour,None
Industrial Boiler with BioOil Combustion (plant),Construction,1,unit,unit,None
Industrial Boiler with BioOil Combustion (storage tank),Construction,=3.89863157894737E-08/0.000000002924,unit,unit,"Tank per boiler: (Wernet, 2016)"
Industrial Cogeneration with BioGas Combustion,Construction,=0.956 / 1000,unit,kilowatt,"cogeneration production (0.956 kWe/kWth): (Moret, 2017), cogeneration unit capacity (1 MWe)"
Industrial Cogeneration with BioGas Combustion,Operation,=3.6 / 0.1636,megajoule,kilowatt hour,"allocation factor (0.1636): (Wernet, 2016)"
"Industrial Cogeneration with BioGas Combustion (co-generation unit, components for heat and electricity)",Construction,1,unit,unit,None
"Industrial Cogeneration with BioGas Combustion (co-generation unit, components for electricity)",Construction,1,unit,unit,None
"Industrial Cogeneration with BioGas Combustion (co-generation unit, components for heat)",Construction,1,unit,unit,None
Compressed Synthetic Natural Gas-Powered Light Commercial Vehicle,Construction,=1 * 8760 * 0.093 / (0.75 * 22660),unit,ton kilometer per hour,"payload (750 kg), yearly distance (22660 km): (Sacchi, 2021), capacity factor (0.093): (Limpens, 2021)"
Compressed Synthetic Natural Gas-Powered Light Commercial Vehicle,Operation,=1/0.75,kilometer,ton kilometer,"payload (750 kg): (Sacchi, 2021)"
Conversion of BioMethane to Methanol,Construction,=(24*0.86)/2.7 / 1000000,unit,kilowatt,"LHV methanol (5.54 kWh/kg): (Engineering ToolBox, 2003), daily production (2700 t/day): (Wernet, 2016), capacity factor (0.86): (Moret, 2017)"
Conversion of BioMethane to Methanol,Operation,=1 / 5.54,kilogram,kilowatt hour,"LHV methanol (5.54 kWh/kg): (Engineering ToolBox, 2003)"
BioMethanol Cabonylation Process,Construction,=3.6 * 8760 * 0.86 / (0.05 * 1000 * 14.55) / 1000000,unit,kilowatt,"acetic acid heat of combustion (14.55 MJ/kg): (Engineering ToolBox, 2017), yearly production (0.05 Mt/yr): (Althaus, 2007), capacity factor (0.86): (Moret, 2017)"
BioMethanol Cabonylation Process,Operation,=3.6 / 14.55,kilogram,kilowatt hour,"acetic acid heat of combustion (14.55 MJ/kg): (Engineering ToolBox, 2017)"
BioMethanol Synthesis via Fischer-Tropsch Process,Construction,=(24*0.86)/2.7 / 1000000,unit,kilowatt,"LHV methanol (5.54 kWh/kg): (Engineering ToolBox, 2003), capacity factor (0.86): (Moret, 2017), daily production (2700 t/day): (Wernet, 2016)"
BioMethanol Synthesis via Fischer-Tropsch Process,Operation,=1 / 5.54,kilogram,kilowatt hour,"LHV methanol (5.54 kWh/kg): (Engineering ToolBox, 2003)"
Conversion of BioMethanol to Aromatic Compounds,Construction,=3.6 * 8760 * 0.86 / (0.05 * 1000 * 41.833) / 1000000,unit,kilowatt,"benzene heat of combustion (41.833 MJ/kg): (Engineering ToolBox, 2017), yearly production (0.05 Mt/yr): (Althaus, 2007), capacity factor (0.86): (Moret, 2017)"
Conversion of BioMethanol to Aromatic Compounds,Operation,=3.6 / 41.833,kilogram,kilowatt hour,"benzene heat of combustion (41.833 MJ/kg): (Engineering ToolBox, 2017)"
Conversion of BioMethanol to Olefinic Compounds,Construction,=3.6 * 8760 * 0.86 / (0.05 * 1000 * 50.285) / 1000000,unit,kilowatt,"ethylene heat of combustion (50.285 MJ/kg): (Engineering ToolBox, 2017), yearly production (0.05 Mt/yr): (Althaus, 2007), capacity factor (0.86): (Moret, 2017)"
Conversion of BioMethanol to Olefinic Compounds,Operation,=3.6 / 50.285,kilogram,kilowatt hour,"ethylene heat of combustion (50.285 MJ/kg): (Engineering ToolBox, 2017)"
Synthetic Natural Gas Compression from High Pressure to Extra High Pressure,Construction,=1 / 300,unit,kilowatt,Capacity (300 kW)
Synthetic Natural Gas Compression from High Pressure to Extra High Pressure,Operation,=1 * 3.6 / 39,cubic meter,kilowatt hour,"natural gas LHV (39 MJ/m3): (Wernet, 2016)"
Synthetic Natural Gas Compression from Low Pressure to Medium Pressure,Construction,=1 / 4,unit,kilowatt,Capacity (4 kW)
Synthetic Natural Gas Compression from Low Pressure to Medium Pressure,Operation,=1 * 3.6 / 39,cubic meter,kilowatt hour,"natural gas LHV (39 MJ/m3): (Wernet, 2016)"
Synthetic Natural Gas Compression from Medium Pressure to High Pressure,Construction,=1 / 300,unit,kilowatt,Capacity (300 kW)
Synthetic Natural Gas Compression from Medium Pressure to High Pressure,Operation,=1 * 3.6 / 46.5,cubic meter,kilowatt hour,"natural gas LHV (46.5 MJ/kg): (Wernet, 2016)"
Synthetic Natural Gas Expansion from Extra High Pressure to High Pressure,Operation,=1 * 3.6 / 39,cubic meter,kilowatt hour,"natural gas LHV (39 MJ/m3): (Wernet, 2016)"
Synthetic Natural Gas Expansion from Extra High Pressure to High Pressure (co-generation unit),Construction,=1 / 160,unit,kilowatt,Capacity (160 kW)
Synthetic Natural Gas Expansion from Extra High Pressure to High Pressure (co-generation unit),Operation,=1 * 3.6 / 39,cubic meter,kilowatt hour,"natural gas LHV (39 MJ/m3): (Wernet, 2016)"
Synthetic Natural Gas Expansion from High Pressure to Medium Pressure,Operation,=1 * 3.6 / 39,cubic meter,kilowatt hour,"natural gas LHV (39 MJ/m3): (Wernet, 2016)"
Synthetic Natural Gas Expansion from High Pressure to Medium Pressure (co-generation unit),Construction,=1 / 160,unit,kilowatt,Capacity (160 kW)
Synthetic Natural Gas Expansion from High Pressure to Medium Pressure (co-generation unit),Operation,=1 * 3.6 / 39,cubic meter,kilowatt hour,"natural gas LHV (39 MJ/m3): (Wernet, 2016)"
Synthetic Natural Gas Expansion from Medium Pressure to Low Pressure,Operation,=1 * 3.6 / 46.5,kilogram,kilowatt hour,"natural gas LHV (46.5 MJ/kg): (Wernet, 2016)"
Synthetic Natural Gas Expansion from Medium Pressure to Low Pressure (co-generation unit),Construction,=1 / 160,unit,kilowatt,Capacity (160 kW)
Synthetic Natural Gas Expansion from Medium Pressure to Low Pressure (co-generation unit),Operation,=1 * 3.6 / 46.5,cubic meter,kilowatt hour,"natural gas LHV (46.5 MJ/kg): (Wernet, 2016)"
Plasma Synthetic Natural Gas Pyrolysis,Construction,=1000/4000,unit,kilowatt,Capacity (4 kW)
Plasma Synthetic Natural Gas Pyrolysis,Operation,=1/33.3,kilogram,kilowatt hour,"H2 LHV (33.3 kWh/kg): (Engineering ToolBox, 2003)"
Thermal Synthetic Natural Gas Pyrolysis,Construction,=1000/4000,unit,kilowatt,Capacity (4 kW)
Thermal Synthetic Natural Gas Pyrolysis,Operation,=1/33.3,kilogram,kilowatt hour,"H2 LHV (33.3 kWh/kg): (Engineering ToolBox, 2003)"
Synthetic Natural Gas Reforming,Construction,=8760 * 0.86 / (0.05 * 1000 * 33.3) / 1000000,unit,kilowatt,"hydrogen LHV (33.3 kWh/kg): (Engineering ToolBox, 2003), yearly production (0.05 Mt/yr): (Althaus, 2007), capacity factor (0.86): (Moret, 2017)"
Synthetic Natural Gas Reforming,Operation,=1 / 33.3,kilogram,kilowatt hour,"hydrogen LHV (33.3 kWh/kg): (Engineering ToolBox, 2003), yearly production (0.05 Mt/yr): (Althaus, 2007), capacity factor (0.86): (Moret, 2017)"
Synthetic Natural Gas Reforming (plant),Construction,1,unit,unit,None
Synthetic Natural Gas Reforming (storage tank),Construction,=0.00000000254628/5.3483199147628E-10,unit,unit,"Tank per plant: (Sacchi, 2022)"
Synthetic Natural Gas to Storage,Construction,=1/(16000*0.777*13.1),unit,kilowatt hour,"natural gas density (0.777 kg/m3), natural gas LHV (13.1 kWh/kg): (Engineering ToolBox, 2003), capacity (16000 m3)"
Open Cycle BioGas Turbine 243 MW,Construction,=1000 / 10000000,unit,kilowatt,Capacity (10 MW_el)
Open Cycle BioGas Turbine 243 MW,Operation,=3.6 * 2.5,megajoule,kilowatt hour,"NG consumption (2.5 kWh per kWh electricity): (Wernet, 2016)"
Open Cycle BioGas Turbine 100 MW,Construction,=1000 / 10000000,unit,kilowatt,Capacity (10 MW_el)
Open Cycle BioGas Turbine 100 MW,Operation,=3.6 * 2.5,megajoule,kilowatt hour,"NG consumption (2.5 kWh per kWh electricity): (Wernet, 2016)"
Bio-Jet Fuel-Powered Freight Plane,Construction,=1 * 8760 * 0.6 / (57 * 55000000/25),unit,ton kilometer per hour,"lifetime distance (55000000 km): (Wernet, 2016), lifetime (25 years): assumption, mass of goods per plane (57 t): (Fischer, 2023), capacity factor (0.60): (The World Bank, 2009)"
Bio-Jet Fuel-Powered Freight Plane,Operation,=1,ton kilometer,ton kilometer,None
Bio-Jet Fuel-Powered Long Haul Passenger Plane,Construction,=1 * 8760 * 0.444 / (265 * 49000000/25),unit,person kilometer per hour,"lifetime distance (49000000 km): (Wernet, 2016), lifetime (25 years): assumption, people per plane (265): (Fischer, 2023), capacity factor (0.444): (Fischer, 2023)"
Bio-Jet Fuel-Powered Long Haul Passenger Plane,Operation,=1,person kilometer,person kilometer,None
Bio-Jet Fuel-Powered Short Haul Passenger Plane,Construction,=1 * 8760 * 0.349 / (130 * 49000000/25),unit,person kilometer per hour,"lifetime distance (49000000 km): (Wernet, 2016), lifetime (25 years): assumption, people per plane (130): (Fischer, 2023), capacity factor (0.349): (Fischer, 2023)"
Bio-Jet Fuel-Powered Short Haul Passenger Plane,Operation,=1,person kilometer,person kilometer,None
10% BioEthanol-Powered School Bus,Construction,=1 * 8760 * 0.297 / (47 * 24000),unit,person kilometer per hour,"people per vehicle (47), yearly distance (24000 km): (CIRAIG, 2022), capacity factor (0.297): (Limpens, 2021)"
10% BioEthanol-Powered School Bus,Operation,=1,person kilometer,person kilometer,None
Compressed Synthetic Natural Gas-Powered Long Distance Semi-trailer truck,Construction,=1 * 8760 * 0.093 / (11.7 * 274000),unit,ton kilometer per hour,"payload (13.4 t), yearly distance (108000 km): (Sacchi, 2022), capacity factor (0.093): (Limpens, 2021)"
Compressed Synthetic Natural Gas-Powered Long Distance Semi-trailer truck,Operation,=1,ton kilometer,ton kilometer,None
Compressed Synthetic Natural Gas-Powered Short Distance Semi-trailer truck,Construction,=1 * 8760 * 0.093 / (6.3 * 73000),unit,ton kilometer per hour,"payload (6.3 t), yearly distance (73000 km): (Sacchi, 2021), capacity factor (0.093): (Limpens, 2021)"
Compressed Synthetic Natural Gas-Powered Short Distance Semi-trailer truck,Operation,=1/6.3,kilometer,ton kilometer,"payload (6.3 t): (Sacchi, 2021)"
Compressed Synthetic Natural Gas-Powered Sport Utility Vehicle,Construction,=1 * 8760 * 0.051 / (1.23 * 12000),unit,person kilometer per hour,"people per vehicle (1.23): (Chaire Mobilite, 2018), yearly distance (12000km): (Sacchi, 2022), capacity factor (0.051): (Limpens, 2021)"
Compressed Synthetic Natural Gas-Powered Sport Utility Vehicle,Operation,=1,person kilometer,person kilometer,None
10% BioEthanol-Powered Sport Utility Vehicle,Construction,=1 * 8760 * 0.051 / (1.23 * 12000),unit,person kilometer per hour,"people per vehicle (1.23): (Chaire Mobilite, 2018), yearly distance (12000km): (Sacchi, 2022), capacity factor (0.051): (Limpens, 2021)"
10% BioEthanol-Powered Sport Utility Vehicle,Operation,=1,person kilometer,person kilometer,None
85% BioEthanol-Powered Sport Utility Vehicle,Construction,=1 * 8760 * 0.051 / (1.23 * 12000),unit,person kilometer per hour,"people per vehicle (1.23): (Chaire Mobilite, 2018), yearly distance (12000km): (Sacchi, 2022), capacity factor (0.051): (Limpens, 2021)"
85% BioEthanol-Powered Sport Utility Vehicle,Operation,=1,person kilometer,person kilometer,None
BioDiesel-Powered Train,Construction,=1 * 8760 * 0.275 / (343 * (20000000/40)),unit,person kilometer per hour,"distance over lifetime (20mio km), lifetime (40y): (Wernet, 2016), people per vehicle (343): (Schnidrig, 2020), capacity factor (0.275): (Limpens, 2021)"
BioDiesel-Powered Train,Operation,=1,person kilometer,person kilometer,None
Biodiesel-Powered Freight Train,Construction,=(40 * 8760 * 0.342) / (9600000 * 20 * 26),unit,ton kilometer per hour,"Lifetime distance 9600000 km: (Spielmann, 2007); train composition 2 Locomotives:  (Schnidrig, 2020); Lifetime of train 40 years:  (Spielmann, 2007); 20 waggon per train: (Spielmann, 2007); Load per wagon: 26t  (Spielmann, 2007); capacity factor (0.342): (Limpens, 2021)"
Biodiesel-Powered Freight Train,Operation,1,ton kilometer,ton kilometer,None
Biodiesel-Powered Freight Train (locomotive),Construction,2,unit,unit,"2 locomotives per train (Spielmann, 2007)"
Biodiesel-Powered Freight Train (wagon),Construction,20,unit,unit,"20 wagon per train: (Spielmann, 2007); "
Natural Synthetic Gas-Powered Freight Train,Construction,=(40 * 8760 * 0.342) / (9600000 * 20 * 26),unit,ton kilometer per hour,"Lifetime distance 9600000 km: (Spielmann, 2007); train composition 2 Locomotives:  (Schnidrig, 2020); Lifetime of train 40 years:  (Spielmann, 2007); 20 waggon per train: (Spielmann, 2007); Load per wagon: 26t  (Spielmann, 2007); capacity factor (0.342): (Limpens, 2021)"
Natural Synthetic Gas-Powered Freight Train,Operation,1,ton kilometer,ton kilometer,None
Natural Synthetic Gas-Powered Freight Train (locomotive),Construction,2,unit,unit,"2 locomotives per train (Spielmann, 2007)"
Natural Synthetic Gas-Powered Freight Train (wagon),Construction,20,unit,unit,"20 wagon per train: (Spielmann, 2007); "
Synthetic Natural Gas-Powered Train,Construction,=40 * 8760 * 0.275 / (343 * 20000000),unit,person kilometer per hour,"distance over lifetime (20mio km), lifetime (40y): (Wernet, 2016), people per vehicle (343): (Schnidrig, 2020), capacity factor (0.275): (Limpens, 2021)"
Synthetic Natural Gas-Powered Train,Operation,=1,person kilometer,person kilometer,None
Compressed Synthetic Natural Gas-Powered Long Distance Truck,Construction,=1 * 8760 * 0.093 / (7.4 * 98000),unit,ton kilometer per hour,"payload (7.4 t), yearly distance (98000 km): (Sacchi, 2022), capacity factor (0.093): (Limpens, 2021)"
Compressed Synthetic Natural Gas-Powered Long Distance Truck,Operation,=1,ton kilometer,ton kilometer,None
Compressed Synthetic Natural Gas-Powered Short Distance Truck,Construction,=1 * 8760 * 0.093 / (3.2 * 78000),unit,ton kilometer per hour,"payload (3.2 t), yearly distance (78000 km): (Sacchi, 2021), capacity factor (0.093): (Limpens, 2021)"
Compressed Synthetic Natural Gas-Powered Short Distance Truck,Operation,=1/3.2,kilometer,ton kilometer,"payload (3.2 t): (Sacchi, 2021)"
Bio-ethanol,Resource,=1 * 3.6 / 31.58,kilogram,kilowatt hour,"Ethanol LHV (31.58 MJ/kg): (Wernet, 2016)"
Hydrogen Grid at Extra High Pressure,Construction,=(8.1/1.557) * (80/30) / 1000000,kilometer,kilowatt,"mean extreme high pressure H2 grid pressure ($p_{EHP} $ = 80 barg), mean high pressure H2 grid pressure ($p_{HP} $ = 30 barg), typical power size connected to the high-pressure H2 grid ($P_{HP}$ = 1557 MW), mean high-pressure H2 grid transportation length ($l_{HP}$ = 8.10 km): (Schnidrig, 2023)"
Natural Gas Grid at Extra High Pressure,Construction,=(8.1/6.14) * (80/30) / 1000000,kilometer,kilowatt,"mean extreme high pressure NG grid pressure ($p_{EHP} $ = 80 barg), mean high pressure NG grid pressure ($p_{HP} $ = 30 barg), typical power size connected to the high-pressure NG grid ($P_{HP}$ = 6140MW), mean high-pressure NG grid transportation length ($l_{HP}$ = 8.10 km): (Schnidrig, 2023)"
Hydrogen Grid at High Pressure,Construction,=8.1/1.557 / 1000000,kilometer,kilowatt,"typical power size connected to the high-pressure H2 grid ($P_{HP}$ = 1557 MW), mean high-pressure H2 grid transportation length ($l_{HP}$ = 8.10 km): (Schnidrig, 2023)"
Natural Gas Grid at High Pressure,Construction,=8.1/6.14 / 1000000,kilometer,kilowatt,"typical power size connected to the high-pressure NG grid ($P_{HP}$ = 6140MW), mean high-pressure NG grid transportation length ($l_{HP}$ = 8.10 km): (Schnidrig, 2023)"
Hydrogen Grid at Low Pressure,Construction,=0.11/0.2 / 1000,kilometer,kilowatt,"typical power size connected to the low-pressure H2 grid ($P_{LP}$ = 0.2 MW), mean low-pressure H2 grid transportation length ($l_{LP}$ = 0.11 km): (Schnidrig, 2023)"
Natural Gas Grid at Low Pressure,Construction,=0.11/0.425 / 1000,kilometer,kilowatt,"typical power size connected to the low-pressure NG grid ($P_{LP}$ = 0.425 MW), mean low-pressure NG grid transportation length ($l_{LP}$ = 0.11 km): (Schnidrig, 2023)"
Hydrogen Grid at Medium Pressure,Construction,=(0.11/0.2) * (7.5/0.0625) / 1000,kilometer,kilowatt,"mean medium-pressure H2 grid pressure ($p_{MP}$ = 7.5 barg), mean low-pressure H2 grid pressure ($p_{LP}$ = 0.0625 barg), typical power size connected to the low-pressure H2 grid ($P_{LP}$ = 0.2 MW), mean low-pressure H2 grid transportation length ($l_{LP}$ = 0.11 km): (Schnidrig, 2023)"
Natural Gas Grid at Medium Pressure,Construction,=(0.11/0.425) * (7.5/0.0625) / 1000,kilometer,kilowatt,"mean medium-pressure NG grid pressure ($p_{MP}$ = 7.5 barg), mean low-pressure NG grid pressure ($p_{LP}$ = 0.0625 barg), typical power size connected to the low-pressure NG grid ($P_{LP}$ = 0.425 MW), mean low-pressure NG grid transportation length ($l_{LP}$ = 0.11 km): (Schnidrig, 2023)"
Acetic acid,Flow,=1 * 3.6 / 14.55,kilogram,kilowatt hour,"acetic acid heat of combustion (14.55 MJ/kg): (Engineering ToolBox, 2017)"
Acetone,Flow,=1 / 8.22,kilogram,kilowatt hour,"Acetone LHV (8.22 kWh/kg): (Engineering ToolBox, 2003)"
Benzene,Flow,=1 * 3.6 / 42.5,kilogram,kilowatt hour,"Benzene heat of combustion (42.5 MJ/kg): (Wernet, 2016)"
Bio-diesel,Flow,=1 / 10.5,kilogram,kilowatt hour,"Biodiesel LHV (10.50 kWh/kg): (Engineering ToolBox, 2003)
"
Coal,Flow,=1 * 3.6 / 27.91,kilogram,kilowatt hour,"Bituminous coal LHV (27.91 MJ/kg): (Wernet, 2016)"
Diesel,Flow,=1 / 11.83,kilogram,kilowatt hour,"Diesel LHV (11.83 kWh/kg): (Engineering ToolBox, 2003)"
Electricity import,Flow,=1,kilowatt hour,kilowatt hour,None
Electricity (high voltage),Flow,=1,kilowatt hour,kilowatt hour,None
Electricity (medium voltage),Flow,=1,kilowatt hour,kilowatt hour,None
Electricity (low voltage),Flow,=1,kilowatt hour,kilowatt hour,None
Ethane,Flow,=1 / 13.28,kilogram,kilowatt hour,"Ethane LHV (13.28 kWh/kg): (Engineering ToolBox, 2003)"
Ethanol,Flow,=1 * 3.6 / 31.58,kilogram,kilowatt hour,"Ethanol LHV (31.58 MJ/kg): (Wernet, 2016)"
Ethylbenzene,Flow,=1 * 3.6 / 40.938,kilogram,kilowatt hour,"Ethylbenzene LHV (40.938 MJ/kg): (Wikipedia, 2023)"
Ethylene,Flow,=1 * 3.6 / 50.285,kilogram,kilowatt hour,"Ethylene heat of combustion (50.285 MJ/kg): (Engineering ToolBox, 2017)"
Gasoline,Flow,=1 * 3.6 / 42.5,kilogram,kilowatt hour,"LHV gasoline (42.5 MJ/kg): (Wernet, 2016)"
Hydrogen,Flow,=1 / 33.3,kilogram,kilowatt hour,"hydrogen LHV (33.3 kWh/kg): (Engineering ToolBox, 2003)"
Jetfuel,Flow,=1 * 3.6 / 43,kilogram,kilowatt hour,"jet fuels LHV (43 MJ/kg): (Boehm, 2022)"
