Name,Type,Value,LCA unit,ESM unit,Assumptions & Sources
Compressed Natural Gas-Powered Sport Utility Vehicle,Construction,=1 * 8760 * 0.051 / (1.23 * 12000),unit,person kilometer per hour,"people per vehicle (1.23): (Chaire Mobilite, 2018), yearly distance (12000km): (Sacchi, 2022), capacity factor (0.051): (Limpens, 2021)"
Compressed Natural Gas-Powered Sport Utility Vehicle,Operation,=1,person kilometer,person kilometer,None
Diesel-Powered Sport Utility Vehicle,Construction,=1 * 8760 * 0.051 / (1.23 * 12000),unit,person kilometer per hour,"people per vehicle (1.23): (Chaire Mobilite, 2018), yearly distance (12000km): (Sacchi, 2022), capacity factor (0.051): (Limpens, 2021)"
Diesel-Powered Sport Utility Vehicle,Operation,=1,person kilometer,person kilometer,None
10% Ethanol-Powered Sport Utility Vehicle,Construction,=1 * 8760 * 0.051 / (1.23 * 12000),unit,person kilometer per hour,"people per vehicle (1.23): (Chaire Mobilite, 2018), yearly distance (12000km): (Sacchi, 2022), capacity factor (0.051): (Limpens, 2021)"
10% Ethanol-Powered Sport Utility Vehicle,Operation,=1,person kilometer,person kilometer,None
85% Ethanol-Powered Sport Utility Vehicle,Construction,=1 * 8760 * 0.051 / (1.23 * 12000),unit,person kilometer per hour,"people per vehicle (1.23): (Chaire Mobilite, 2018), yearly distance (12000km): (Sacchi, 2022), capacity factor (0.051): (Limpens, 2021)"
85% Ethanol-Powered Sport Utility Vehicle,Operation,=1,person kilometer,person kilometer,None
Electric-Powered Sport Utility Vehicle,Construction,=1 * 8760 * 0.051 / (1.23 * 12000),unit,person kilometer per hour,"people per vehicle (1.23): (Chaire Mobilite, 2018), yearly distance (12000km): (Sacchi, 2022), capacity factor (0.051): (Limpens, 2021)"
Electric-Powered Sport Utility Vehicle,Operation,=1,person kilometer,person kilometer,None
Hydrogen Fuel Cell-Powered Sport Utility Vehicle,Construction,=1 * 8760 * 0.051 / (1.23 * 12000),unit,person kilometer per hour,"people per vehicle (1.23): (Chaire Mobilite, 2018), yearly distance (12000km): (Sacchi, 2022), capacity factor (0.051): (Limpens, 2021)"
Hydrogen Fuel Cell-Powered Sport Utility Vehicle,Operation,=1,person kilometer,person kilometer,None
Gasoline-Powered Sport Utility Vehicle,Construction,=1 * 8760 * 0.051 / (1.23 * 12000),unit,person kilometer per hour,"people per vehicle (1.23): (Chaire Mobilite, 2018), yearly distance (12000km): (Sacchi, 2022), capacity factor (0.051): (Limpens, 2021)"
