Name,Flow,Amount
Gasoline-Powered Car,Gasoline,-0.426
Gasoline-Powered Car,Private mobility,1.0
Hybrid Electric Car,CO2 emission (from nonconcentrated spot sources),0.09
Hybrid Electric Car,Gasoline,-0.381
Hybrid Electric Car,Private mobility,1.0
Methanol-Powered Car ,CO2 emission (from nonconcentrated spot sources),0.111
Methanol-Powered Car ,Gasoline,-0.39
Methanol-Powered Car ,Methanol,-0.05
Methanol-Powered Car ,Private mobility,1.0
Plug-in Hybrid Electric Car,CO2 emission (from nonconcentrated spot sources),0.052
Plug-in Hybrid Electric Car,Electricity (medium voltage),-0.112
Plug-in Hybrid Electric Car,Gasoline,-0.222
Plug-in Hybrid Electric Car,Private mobility,1.0
Propane-Powered Car,CO2 emission (from nonconcentrated spot sources),0.11
Propane-Powered Car,Private mobility,1.0
Propane-Powered Car,Propane,-0.529
Combined Cycle Gas Turbine,CO2 emission (from carbon-intensive fields),0.314
Combined Cycle Gas Turbine,Electricity (high voltage),1.0
Combined Cycle Gas Turbine,Natural gas (high pressure),-1.587
Combined Cycle BioGas Turbine,CO2 emission (from carbon-intensive fields),0.314
Combined Cycle BioGas Turbine,Electricity (high voltage),1.0
Combined Cycle BioGas Turbine,Synthetic natural gas (high pressure),-1.587
Combined Cycle BioGas Turbine with Carbon Capture,Captured CO2,0.314
Combined Cycle BioGas Turbine with Carbon Capture,CO2 emission (from nonconcentrated spot sources),0.09
Combined Cycle BioGas Turbine with Carbon Capture,Electricity (high voltage),1.0
Combined Cycle BioGas Turbine with Carbon Capture,Synthetic natural gas (high pressure),-1.754
Combined Cycle Gas Turbine with Carbon Capture,Captured CO2,0.314
Combined Cycle Gas Turbine with Carbon Capture,CO2 emission (from nonconcentrated spot sources),0.09
Combined Cycle Gas Turbine with Carbon Capture,Electricity (high voltage),1.0
Combined Cycle Gas Turbine with Carbon Capture,Natural gas (high pressure),-1.754
Cement Production,Cement,1.0
Cement Production,CO2 emission (from carbon-intensive fields),0.185
Cement Production,Electricity (medium voltage),-0.108
Cement Production,Heat (high temperature),-0.862
Cement Production (heat pump),Cement,1.0
Cement Production (heat pump),CO2 emission (from carbon-intensive fields),0.185
Cement Production (heat pump),Electricity (medium voltage),-0.058
Cement Production (heat pump),Heat (high temperature),-0.862
Conversion of CO2 to Methanol,Captured CO2,-0.25
Conversion of CO2 to Methanol,Hydrogen (medium pressure),-1.5
Conversion of CO2 to Methanol,Methanol,1.0
CO2 Storage (input),Captured CO2,-1.0
CO2 Storage (input),Captured & stored CO2,1.0
CO2 Storage (input),Electricity (medium voltage),-0.007
Conversion of CO2 to Diesel,Captured CO2,-0.361
Conversion of CO2 to Diesel,Diesel,1.0
Conversion of CO2 to Diesel,Gasoline,0.388
Conversion of CO2 to Diesel,Hydrogen (medium pressure),-1.538
Conversion of CO2 to Jet Fuels,Bio-jetfuel,1.0
Conversion of CO2 to Jet Fuels,CO2 emission (from carbon-intensive fields),1.023
Conversion of CO2 to Jet Fuels,Captured CO2,-0.26
Conversion of CO2 to Jet Fuels,Hydrogen (medium pressure),-1.19
Conversion of CO2 to Jet Fuels,Wet biomass,-3.413
100% BioDiesel-Powered Coach,Bio-diesel,-0.122
100% BioDiesel-Powered Coach,CO2 emission (from nonconcentrated spot sources),0.024
100% BioDiesel-Powered Coach,Public mobility,1.0
20% BioDiesel-Powered Coach,Bio-diesel,-0.024
20% BioDiesel-Powered Coach,CO2 emission (from nonconcentrated spot sources),0.024
20% BioDiesel-Powered Coach,Diesel,-0.097
20% BioDiesel-Powered Coach,Public mobility,1.0
10% BioEthanol-Powered Coach,Bio-ethanol,-0.016
10% BioEthanol-Powered Coach,CO2 emission (from nonconcentrated spot sources),0.039
10% BioEthanol-Powered Coach,Gasoline,-0.148
10% BioEthanol-Powered Coach,Public mobility,1.0
Compressed Natural Gas-Powered Coach,CO2 emission (from nonconcentrated spot sources),0.019
Compressed Natural Gas-Powered Coach,Public mobility,1.0
Compressed Natural Gas-Powered Coach,Natural gas (high pressure),-0.11
Compressed Synthetic Natural Gas-Powered Coach,CO2 emission (from nonconcentrated spot sources),0.019
Compressed Synthetic Natural Gas-Powered Coach,Public mobility,1.0
Compressed Synthetic Natural Gas-Powered Coach,Synthetic natural gas (high pressure),-0.11
Diesel-Powered Coach,CO2 emission (from nonconcentrated spot sources),0.024
Diesel-Powered Coach,Diesel,-0.122
Diesel-Powered Coach,Public mobility,1.0
10% Ethanol-Powered Coach,CO2 emission (from nonconcentrated spot sources),0.039
10% Ethanol-Powered Coach,Ethanol,-0.016
10% Ethanol-Powered Coach,Gasoline,-0.148
10% Ethanol-Powered Coach,Public mobility,1.0
Electric-Powered Coach,Electricity (medium voltage),-0.036
Electric-Powered Coach,Public mobility,1.0
Gasoline-Powered Coach,CO2 emission (from nonconcentrated spot sources),0.039
Gasoline-Powered Coach,Gasoline,-0.165
Gasoline-Powered Coach,Public mobility,1.0
Diesel Hybrid Coach,CO2 emission (from nonconcentrated spot sources),0.048
Diesel Hybrid Coach,Diesel,-0.183
Diesel Hybrid Coach,Public mobility,1.0
Propane-Powered Coach,CO2 emission (from nonconcentrated spot sources),0.039
Propane-Powered Coach,Public mobility,1.0
Propane-Powered Coach,Propane,-0.165
Coal,Coal,1.0
Hydrogen from Coal Gasification,CO2 emission (from carbon-intensive fields),0.656
Hydrogen from Coal Gasification,Coal,-1.635
Hydrogen from Coal Gasification,Electricity (low voltage),0.043
Hydrogen from Coal Gasification,Hydrogen (medium pressure),1.0
Hydrogen from Advanced Coal Gasification,CO2 emission (from carbon-intensive fields),1.221
Hydrogen from Advanced Coal Gasification,Coal,-3.042
Hydrogen from Advanced Coal Gasification,Electricity (low voltage),0.898
Hydrogen from Advanced Coal Gasification,Hydrogen (medium pressure),1.0
Hydrogen from Advanced Coal Gasification with Carbon Capture,Captured CO2,1.062
Hydrogen from Advanced Coal Gasification with Carbon Capture,CO2 emission (from nonconcentrated spot sources),0.118
Hydrogen from Advanced Coal Gasification with Carbon Capture,Coal,-2.939
Hydrogen from Advanced Coal Gasification with Carbon Capture,Electricity (low voltage),0.661
Hydrogen from Advanced Coal Gasification with Carbon Capture,Hydrogen (medium pressure),1.0
Hydrogen from Coal Gasification with Carbon Capture,Captured CO2,0.652
Hydrogen from Coal Gasification with Carbon Capture,CO2 emission (from nonconcentrated spot sources),0.072
Hydrogen from Coal Gasification with Carbon Capture,Coal,-1.804
Hydrogen from Coal Gasification with Carbon Capture,Electricity (low voltage),0.064
Hydrogen from Coal Gasification with Carbon Capture,Hydrogen (medium pressure),1.0
Integrated Gasification Combined Cycle,CO2 emission (from carbon-intensive fields),0.442
Integrated Gasification Combined Cycle,Coal,-2.065
Integrated Gasification Combined Cycle,Electricity (high voltage),1.0
Integrated Gasification Combined Cycle with Carbon Capture,Captured CO2,0.754
Integrated Gasification Combined Cycle with Carbon Capture,CO2 emission (from nonconcentrated spot sources),0.086
Integrated Gasification Combined Cycle with Carbon Capture,Coal,-2.58
Integrated Gasification Combined Cycle with Carbon Capture,Electricity (high voltage),1.0
Coal Ultra-Supercritical,CO2 emission (from carbon-intensive fields),0.434
Coal Ultra-Supercritical,Coal,-1.94
Coal Ultra-Supercritical,Electricity (high voltage),1.0
Coal Ultra-Supercritical with Carbon Capture,Captured CO2,0.784
Coal Ultra-Supercritical with Carbon Capture,CO2 emission (from nonconcentrated spot sources),0.161
Coal Ultra-Supercritical with Carbon Capture,Coal,-1.985
Coal Ultra-Supercritical with Carbon Capture,Electricity (high voltage),1.0
Diesel-Powered Commuter Train,CO2 emission (from nonconcentrated spot sources),0.102
Diesel-Powered Commuter Train,Diesel,-0.27
Diesel-Powered Commuter Train,Public mobility,1.0
Electric-Powered Commuter Train,Electricity (high voltage),-0.092
Electric-Powered Commuter Train,Public mobility,1.0
Conversion of Crops to Ethanol,Bio-ethanol,1.0
Conversion of Crops to Ethanol,CO2 emission (from carbon-intensive fields),0.154
Conversion of Crops to Ethanol,Wet biomass,-1.786
Conversion of Crops to Jet Fuels,Bio-jetfuel,1.0
Conversion of Crops to Jet Fuels,CO2 emission (from carbon-intensive fields),1.023
Conversion of Crops to Jet Fuels,Wet biomass,-3.413
Cumene Production Process,Acetic acid,0.01
Cumene Production Process,Acetone,1.0
Cumene Production Process,Benzene,-3.0
Cumene Production Process,CO2 emission (from carbon-intensive fields),0.853
Cumene Production Process,Phenol,0.92
Cumene Production Process,Propylene,-0.95
Direct Air Capture at High Temperature,Captured CO2,1.0
Direct Air Capture at High Temperature,CO2 emission (from nonconcentrated spot sources),-1.0
Direct Air Capture at High Temperature,Electricity (medium voltage),-1.535
Direct Air Capture at Low Temperature,Captured CO2,1.0
Direct Air Capture at Low Temperature,CO2 emission (from nonconcentrated spot sources),-1.0
Direct Air Capture at Low Temperature,Electricity (medium voltage),-0.25
Direct Air Capture at Low Temperature,Heat (high temperature),-1.75
Decentralized Cogeneration with Hydrogen,Electricity (medium voltage),2.64
Decentralized Cogeneration with Hydrogen,Hydrogen (medium pressure),-4.55
Decentralized Cogeneration with Hydrogen,"Heat (low temperature, decentralized)",1.0
Decentralized Boiler with BioGas Combustion,CO2 emission (from nonconcentrated spot sources),0.202
Decentralized Boiler with BioGas Combustion,"Heat (low temperature, decentralized)",1.0
Decentralized Boiler with BioGas Combustion,Synthetic natural gas (low pressure),-1.11
Decentralized Boiler with BioOil Combustion,Bio-light fuel oil,-1.18
Decentralized Boiler with BioOil Combustion,CO2 emission (from nonconcentrated spot sources),0.274
Decentralized Boiler with BioOil Combustion,"Heat (low temperature, decentralized)",1.0
Decentralized Boiler with Gas Combustion,CO2 emission (from nonconcentrated spot sources),0.202
Decentralized Boiler with Gas Combustion,"Heat (low temperature, decentralized)",1.0
Decentralized Boiler with Gas Combustion,Natural gas (low pressure),-1.11
Decentralized Boiler with Oil Combustion,CO2 emission (from nonconcentrated spot sources),0.274
Decentralized Boiler with Oil Combustion,"Heat (low temperature, decentralized)",1.0
Decentralized Boiler with Oil Combustion,Light fuel oil,-1.18
Decentralized Boiler with Wood Combustion,CO2 emission (from nonconcentrated spot sources),0.457
Decentralized Boiler with Wood Combustion,"Heat (low temperature, decentralized)",1.0
Decentralized Boiler with Wood Combustion,Woody biomass,-1.18
Decentralized Cogeneration with BioGas Combustion,CO2 emission (from nonconcentrated spot sources),0.43
Decentralized Cogeneration with BioGas Combustion,Electricity (low voltage),0.96
Decentralized Cogeneration with BioGas Combustion,"Heat (low temperature, decentralized)",1.0
Decentralized Cogeneration with BioGas Combustion,Synthetic natural gas (low pressure),-2.17
Decentralized Cogeneration with BioOil Combustion,Bio-light fuel oil,-2.33
Decentralized Cogeneration with BioOil Combustion,CO2 emission (from nonconcentrated spot sources),0.625
Decentralized Cogeneration with BioOil Combustion,Electricity (low voltage),0.91
Decentralized Cogeneration with BioOil Combustion,"Heat (low temperature, decentralized)",1.0
Decentralized Cogeneration with Gas Combustion,CO2 emission (from nonconcentrated spot sources),0.43
Decentralized Cogeneration with Gas Combustion,Electricity (low voltage),0.96
Decentralized Cogeneration with Gas Combustion,"Heat (low temperature, decentralized)",1.0
Decentralized Cogeneration with Gas Combustion,Natural gas (low pressure),-2.17
Decentralized Cogeneration with Oil Combustion,CO2 emission (from nonconcentrated spot sources),0.625
Decentralized Cogeneration with Oil Combustion,Electricity (low voltage),0.91
Decentralized Cogeneration with Oil Combustion,"Heat (low temperature, decentralized)",1.0
Decentralized Cogeneration with Oil Combustion,Light fuel oil,-2.33
Decentralized Cogeneration with Wood Combustion,CO2 emission (from carbon-intensive fields),0.733
Decentralized Cogeneration with Wood Combustion,Electricity (medium voltage),0.34
Decentralized Cogeneration with Wood Combustion,"Heat (low temperature, decentralized)",1.0
Decentralized Cogeneration with Wood Combustion,Woody biomass,-1.887
Decentralized Direct Electricity,Electricity (low voltage),-1.0
Decentralized Direct Electricity,"Heat (low temperature, decentralized)",1.0
Decentralized Heat Pump Electricity ,Electricity (low voltage),-0.33
Decentralized Heat Pump Electricity ,"Heat (low temperature, decentralized)",1.0
Decentralized Energy System Renovation,"Heat (low temperature, decentralized)",1.0
Decentralized Solar Thermal ,"Heat (low temperature, decentralized)",1.0
Decentralized Solar Thermal ,Solar resource,-1.0
Decentralized Thermal BioGas Heat Pump,CO2 emission (from nonconcentrated spot sources),0.132
Decentralized Thermal BioGas Heat Pump,"Heat (low temperature, decentralized)",1.0
Decentralized Thermal BioGas Heat Pump,Synthetic natural gas (low pressure),-0.67
Decentralized Thermal Gas Heat Pump,CO2 emission (from nonconcentrated spot sources),0.132
Decentralized Thermal Gas Heat Pump,"Heat (low temperature, decentralized)",1.0
Decentralized Thermal Gas Heat Pump,Natural gas (low pressure),-0.67
Deep Saline Carbon Sequestration,Captured CO2,-1.0
Deep Saline Carbon Sequestration,CO2 emission (from nonconcentrated spot sources),0.05
Deep Saline Carbon Sequestration,Sequestrated CO2,0.95
Deep Saline Carbon Sequestration,Electricity (medium voltage),-0.0001
District Heating Network Boiler with BioGas Combustion,CO2 emission (from carbon-intensive fields),0.202
District Heating Network Boiler with BioGas Combustion,"Heat (low temperature, district heating network)",1.0
District Heating Network Boiler with BioGas Combustion,Synthetic natural gas (medium pressure),-1.08
District Heating Network Boiler with BioOil Combustion,Bio-light fuel oil,-1.15
District Heating Network Boiler with BioOil Combustion,CO2 emission (from carbon-intensive fields),0.308
District Heating Network Boiler with BioOil Combustion,"Heat (low temperature, district heating network)",1.0
District Heating Network Boiler with Gas Combustion,CO2 emission (from carbon-intensive fields),0.202
District Heating Network Boiler with Gas Combustion,"Heat (low temperature, district heating network)",1.0
District Heating Network Boiler with Gas Combustion,Natural gas (medium pressure),-1.08
District Heating Network Boiler with Oil Combustion,CO2 emission (from carbon-intensive fields),0.308
District Heating Network Boiler with Oil Combustion,"Heat (low temperature, district heating network)",1.0
District Heating Network Boiler with Oil Combustion,Light fuel oil,-1.15
District Heating Network Boiler with Wood Combustion,CO2 emission (from carbon-intensive fields),0.449
District Heating Network Boiler with Wood Combustion,"Heat (low temperature, district heating network)",1.0
District Heating Network Boiler with Wood Combustion,Woody biomass,-1.16
District Heating Network Cogeneration with BioGas Combustion,CO2 emission (from carbon-intensive fields),0.396
District Heating Network Cogeneration with BioGas Combustion,Electricity (medium voltage),1.25
District Heating Network Cogeneration with BioGas Combustion,"Heat (low temperature, district heating network)",1.0
District Heating Network Cogeneration with BioGas Combustion,Synthetic natural gas (medium pressure),-2.5
District Heating Network Cogeneration with Gas Combustion,CO2 emission (from carbon-intensive fields),0.396
District Heating Network Cogeneration with Gas Combustion,Electricity (medium voltage),1.25
District Heating Network Cogeneration with Gas Combustion,"Heat (low temperature, district heating network)",1.0
District Heating Network Cogeneration with Gas Combustion,Natural gas (medium pressure),-2.5
District Heating Network Cogeneration with Waste Combustion,CO2 emission (from carbon-intensive fields),1.203
District Heating Network Cogeneration with Waste Combustion,Electricity (medium voltage),0.44
District Heating Network Cogeneration with Waste Combustion,"Heat (low temperature, district heating network)",1.0
District Heating Network Cogeneration with Waste Combustion,Waste,-2.22
District Heating Network Cogeneration with Waste Combustion with Carbon Capture,Captured CO2,0.68
District Heating Network Cogeneration with Waste Combustion with Carbon Capture,CO2 emission (from nonconcentrated spot sources),0.68
District Heating Network Cogeneration with Waste Combustion with Carbon Capture,Electricity (medium voltage),0.444
District Heating Network Cogeneration with Waste Combustion with Carbon Capture,"Heat (low temperature, district heating network)",1.0
District Heating Network Cogeneration with Waste Combustion with Carbon Capture,Waste,-2.4
District Heating Network Cogeneration with Wood Combustion,CO2 emission (from carbon-intensive fields),0.733
District Heating Network Cogeneration with Wood Combustion,Electricity (medium voltage),0.34
District Heating Network Cogeneration with Wood Combustion,"Heat (low temperature, district heating network)",1.0
District Heating Network Cogeneration with Wood Combustion,Woody biomass,-1.89
District Heating Network with Deep Geothermal Heat,"Heat (low temperature, district heating network)",1.0
District Heating Network with Deep Geothermal Heat,Geothermal resource,-1.0
District Heating Network with Heat Pump Electricity,Electricity (medium voltage),-0.25
District Heating Network with Heat Pump Electricity,"Heat (low temperature, district heating network)",1.0
District Heating Network Renovation,"Heat (low temperature, district heating network)",1.0
Diesel,Diesel,1.0
Diesel to Storage,Diesel,-1.0
Diesel to Storage,Stored diesel,1.0
Direct Usage of stored CO2 ,Captured CO2,-1.0
Direct Usage of stored CO2 ,Electricity (extra high voltage),-0.119
Deep Oil Reservoir Gas Recovery,Captured CO2,-1.0
